Threshold,Accuracy,Precision,Recall,F1 Score
0.1,0.6416487174466419,0.2086669806877061,0.7469229472264374,0.3262030116711461
0.15000000000000002,0.7736440180144899,0.2718651211801897,0.5655032878098128,0.36719947449091306
0.20000000000000004,0.8324065008811435,0.327241651327899,0.4196594166245153,0.3677328802541183
0.25000000000000006,0.861092617975328,0.37872784150156413,0.3061878266734109,0.3386164460190192
0.30000000000000004,0.8754258860387704,0.42941369145103175,0.2210419828022256,0.29185218165627785
0.3500000000000001,0.8828079107107891,0.48605371900826444,0.1586578991738324,0.23922715139189019
0.40000000000000013,0.8856863129038575,0.5383347073371806,0.11009947732254258,0.18281075027995522
0.45000000000000007,0.886645780301547,0.5954301075268817,0.07469229472264374,0.13273408239700374
0.5000000000000001,0.8861758370863521,0.6260683760683761,0.049401450008430284,0.09157680887638693
0.5500000000000002,0.8856863129038575,0.6643109540636042,0.03169785870848087,0.06050852912777599
0.6000000000000002,0.8854709222635598,0.759493670886076,0.020232675771370764,0.03941533913614715
0.6500000000000001,0.8848247503426669,0.7951807228915663,0.01112797167425392,0.02194878616561357
0.7000000000000002,0.8842960642255727,0.8055555555555556,0.004889563311414601,0.009720127367186191
0.7500000000000002,0.8841394164871744,0.9375,0.0025290844714213456,0.005044560282495376
0.8000000000000002,0.8839044448795771,1.0,0.0003372112628561794,0.0006741951795044666
0.8500000000000002,0.8838652829449775,0.0,0.0,0.0
0.9000000000000002,0.8838652829449775,0.0,0.0,0.0
